,Category,keyword,title,price,stars,votes,index
3564,Video & Animation,Animation for Kids,make custom black and white 2d animation video,17.78,5,34,3565
3565,Lifestyle,Spiritual & Healing,"remove any curse or negative energy, cleansing you",8.89,5,285,3566
3566,Writing & Translation,Research & Summaries,help you in qualitative research design and methodology,88.88,5,3,3567
3567,Lifestyle,Spiritual & Healing,use mind reading to tell you what someone thinks,8.89,5,6,3568
3568,Video & Animation,Product Photography,create high quality product photography and infographic in china,8.89,4.9,531,3569
3569,Programming & Tech,Desktop Applications,"do projects in c sharp, java, python, c or cpp etc",4.44,5,9,3570
3570,Writing & Translation,Book EditingNew,critique and edit your book,168.87,5,28,3571
3571,Video & Animation,Animation for Kids,create 2d animation video and children stories,17.78,4.5,6,3572
3572,Business,Financial ConsultingNew,get you approved as a tax exempt non profit,31.11,5,287,3573
3573,Business,Business Plans,write a professional business plan with a financial plan,88.88,4.9,21,3574
3574,Writing & Translation,Book & eBook Writing,be your ghostwriter for nonfiction ebooks and books,31.11,4.8,11,3575
3575,Video & Animation,App & Website Previews,produce a website or app video promotion,35.55,5,6,3576
3576,Music & Audio,Producers & Composers,transform your idea into an amazing musical production,195.53,5,7,3577
3577,Video & Animation,Lyric & Music Videos,Our studio will produce an amazing 2d animated music video for you,"1,867",4.8,4,3578
3578,Video & Animation,Intros & Outros,custom made intro or outro with your logo,62.21,5,683,3579
3579,Lifestyle,Cooking Lessons,create a cooking  arabic video recipe,4.44,5,1,3580
3580,Writing & Translation,LinkedIn Profiles,"do linkedin profile creation, optimization, profile writing",8.89,4.9,35,3581
3581,Music & Audio,Dialogue Editing,denoise the audio of your video,4.44,5,1,3582
3582,Lifestyle,Astrology & Readings,complete a detailed accurate love psychic reading,17.78,5,1k+,3583
3583,Digital Marketing,Web Traffic,drive worldwide keyword and niche targeted traffic,39.99,4.9,63,3584
3584,Programming & Tech,Convert Files,"convert PDF, word to epub and mobi",17.78,nul,nul,3585
3585,Writing & Translation,Scriptwriting,"write any kind of script, based on your requirements",26.66,5,3,3586
3586,Programming & Tech,Databases,"make database website, software",31.11,5,18,3587
3587,Business,Career Counseling,guide you to find a job you love and make more money,66.66,nul,nul,3588
3588,Writing & Translation,Press Releases,write chinese press release or advertorial and distribute to media in china,244.41,5,293,3589
3589,Programming & Tech,Databases,"create sql query, design database, erd, uml class diagram",4.44,5,11,3590
3590,Music & Audio,Podcast EditingNew,"make your podcast, great",4.44,5,8,3591
3591,Writing & Translation,Scriptwriting,do real estate cold calls that convert,173.31,5,15,3592
3592,Business,Business Plans,develop your franchise program,888.78,5,2,3593
3593,Video & Animation,Video Editing,do professional video editing and cool motion graphics,151.09,5,5,3594
3594,Digital Marketing,Influencer Marketing,give shoutout promotion on my 600k instagram page,88.88,4.7,27,3595
3595,Lifestyle,Spiritual & Healing,create an exclusive yoga and meditation ebook,31.11,5,2,3596
3596,Business,Market Research,conduct competitor analysis and swot analysis,26.66,4.6,10,3597
3597,Video & Animation,Local PhotographyBeta,"take pictures of your hotel, inn, motel or bed and breakfast",266.63,nul,nul,3598
3598,Video & Animation,Character Animation,do 3d cartoon and creative animation,88.88,4.9,186,3599
3599,Business,Virtual Assistant,be your virtual assistant for builderall,17.78,5,4,3600
3600,Programming & Tech,Data Analysis & Reports,build your machine learning projects,22.22,4.9,6,3601
3601,Video & Animation,Product Photography,provide the best product photography on fiverr UK only,13.33,5,6,3602
3602,Digital Marketing,Mobile Marketing & Advertising,"do high install app campaign with google ads, lifetime lesson",13.33,5,8,3603
3603,Lifestyle,Traveling,do anything you want me to do in germany,8.89,5,12,3604
3604,Lifestyle,Viral Videos,make funny and crazy videos,8.89,4.9,8,3605
3605,Video & Animation,Real Estate Promos,create real estate agency promo video,31.11,4.9,36,3606
3606,Music & Audio,Music TranscriptionNew,"transcribe any instrument with accuracy into midi, tab or gp",4.44,5,93,3607
3607,Music & Audio,Mixing & Mastering,professionally mix and master your song,26.66,5,126,3608
3608,Programming & Tech,Website Builders & CMS,"migrate, customize and develop drupal website",44.44,5,5,3609
3609,Video & Animation,Screencasting Videos,"create a video tutorial for your website,app or software",88.88,4.9,19,3610
3610,Lifestyle,"Health, Nutrition & Fitness",create a professional diet and workout plan for you,31.11,5,809,3611
3611,Writing & Translation,Creative Writing,ghostwrite your rap song lyrics on any topic,17.78,5,278,3612
3612,Digital Marketing,Music Promotion,write a blog post of your music,13.33,4.8,42,3613
3613,Writing & Translation,Product Descriptions,write tantalizing SEO product descriptions,13.33,5,3,3614
3614,Programming & Tech,Development for StreamersNew,setup or troubleshoot streamlabs obs with you,39.99,5,9,3615
3615,Video & Animation,Animated GIFs,create animated gif or lottie svg for website,311.07,5,30,3616
3616,Video & Animation,Real Estate Promos,"create virtual tour 360 of real estate, from your panoramic photo 360",4.44,5,21,3617
3617,Writing & Translation,Transcripts,accurately transcribe any audio or video quickly,4.44,5,1k+,3618
3618,Writing & Translation,Case Studies,do information security cyber security  digital forensics tasks,13.33,5,7,3619
3619,Lifestyle,Fitness Lessons,be your online trainer and fitness model for promo videos,35.55,4.9,49,3620
3620,Business,Flyer Distribution,post your ads in top classified site on targeted country,4.44,nul,nul,3621
3621,Business,Project ManagementNew,code a complex script of zapier zap or integromat automation,26.66,5,25,3622
3622,Music & Audio,Jingles & Intros,produce a radio styled intro for your podcast in spanish,44.44,5,10,3623
3623,Video & Animation,Game Trailers,edit gaming videos for destiny 2 and overwatch,4.44,5,13,3624
3624,Business,Business Consulting,critique your etsy shop,13.33,5,39,3625
3625,Video & Animation,Real Estate Promos,make real estate videos every realtor needs,53.33,4.9,22,3626
3626,Video & Animation,Real Estate Promos,create real estate dynamic promo video,31.11,5,220,3627
3627,Programming & Tech,Data Analysis & Reports,do social statistics in spss,35.55,5,58,3628
3628,Programming & Tech,E-Commerce Development,"develop, design and kickstart your shopify website",639.92,5,47,3629
3629,Writing & Translation,Scriptwriting,be your professional video script writer for business videos,66.66,5,436,3630
3630,Writing & Translation,Creative Writing,create dnd 5e homebrew monsters for your dnd campaign,4.44,5,15,3631
3631,Video & Animation,Book Trailers,create cinematic book trailers,35.55,5,3,3632
3632,Writing & Translation,Business Names & Slogans,"think of 5 original name ideas for your business, brand or service",13.33,5,7,3633
3633,Lifestyle,Collectibles,send postage stamps or coins or currency notes from malaysia,4.44,nul,nul,3634
3634,Video & Animation,Whiteboard & Animated Explainers,create animated explainer video or sale video,106.65,5,1k+,3635
3635,Music & Audio,Voice Over,record a professional american male voice over narration,22.22,5,1k+,3636
3636,Lifestyle,Personal StylistsNew,be your personal fashion stylist,4.44,5,2,3637
3637,Video & Animation,Book Trailers,create cinematic and dramatic book trailer video,17.78,4.9,49,3638
3638,Video & Animation,Unboxing VideosNew,create a clean unboxing video,71.1,nul,nul,3639
3639,Lifestyle,Family & Genealogy,research your ancestry and help you build a family tree,8.89,5,1,3640
3640,Lifestyle,Viral Videos,produce a tiktok dance to your song and promote,8.89,4.3,6,3641
3641,Programming & Tech,Game Development,develop high quality video game for any platform,"4,000",5,5,3642
3642,Writing & Translation,Grant Writing,write a grant proposal for your nonprofit,133.32,5,1,3643
3643,Music & Audio,Voice Over,add a professional voiceover to your powerpoint presentation,8.89,5,6,3644
3644,Business,Business Plans,"write a business plan for startups, investor, nonprofit business plan",8.89,4.7,29,3645
3645,Business,Project ManagementNew,do all project management task or work in ms project or primavera p6,4.44,5,2,3646
3646,Digital Marketing,Music Promotion,write an amazing press release for your music,22.22,5,166,3647
3647,Video & Animation,Product Photography,do amazon product  photography in china,13.33,4.9,132,3648
3648,Lifestyle,Cooking Lessons,like to make for you cooking videos and tips,13.33,5,3,3649
3649,Video & Animation,Character Animation,create high quality 3d animation,57.77,5,55,3650
3650,Video & Animation,Product Photography,photograph high quality product photos,26.66,5,15,3651
3651,Writing & Translation,Cover Letters,write your german cover letter and CV,35.55,5,36,3652
3652,Business,Financial ConsultingNew,do financial statements and financial analysis,26.66,5,40,3653
3653,Writing & Translation,Product Descriptions,write SEO amazon listing product descriptions fba that sells,57.77,5,75,3654
3654,Video & Animation,Animation for Kids,animate a stop motion video,44.44,5,5,3655
3655,Writing & Translation,Speechwriting,"write, edit or rewrite an incredible speech for any occasion",17.78,5,18,3656
3656,Music & Audio,Producers & Composers,produce a label ready commercial quality electronic music track,133.32,5,2,3657
3657,Video & Animation,Unboxing VideosNew,create eyecatching unboxing video animation  for your products,17.78,nul,nul,3658
3658,Video & Animation,Subtitles & Captions,"add french, english or spanish subtitles to your video",4.44,5,52,3659
3659,Music & Audio,Singers & Vocalists,sing an entire song with full vocal production,133.32,5,44,3660
3660,Video & Animation,Book Trailers,create a professional cinematic book trailer video,79.99,5,10,3661
3661,Lifestyle,Relationship Advice,cast powerful obsession love spell using sangoma,8.89,4.9,90,3662
3662,Lifestyle,Astrology & Readings,analyze your natal chart,31.11,5,68,3663
3663,Programming & Tech,Mobile Apps,do mobile application in android studio using java or kotlin,8.89,4.9,34,3664
3664,Writing & Translation,Email Copy,write engaging and appealing emails for your company,22.22,nul,nul,3665
3665,Writing & Translation,Book EditingNew,copy edit your christian fiction or nonfiction book,4.44,4.9,45,3666
3666,Video & Animation,Short Video Ads,make a cinematic 4k video ad for your business,88.88,5,267,3667
3667,Lifestyle,Your Message On...,be a photo video model for you,8.89,4.4,5,3668
3668,Digital Marketing,Influencer Marketing,"do organic facebook promotion on my 2,500,000 followers fb page",22.22,4.8,14,3669
3669,Video & Animation,Character Animation,do a stop motion animation with paper cutouts and collage,26.66,4.9,45,3670
3670,Video & Animation,Slideshows Videos,create a stunning promotional video or slideshow video,4.44,4.9,21,3671
3671,Writing & Translation,Proofreading & Editing,proofread and copy edit your books and documents,4.44,4.9,227,3672
3672,Video & Animation,Spokespersons Videos,be your on camera spokesperson,222.19,nul,nul,3673
3673,Business,Business Plans,write a perfect five year business plan for you,377.73,4.9,161,3674
3674,Lifestyle,Craft Lessons,create a paper flower video for you,17.78,nul,nul,3675
3675,Writing & Translation,Book & eBook Writing,write a fictional childrens or middle grade story,22.22,4.6,11,3676
3676,Video & Animation,Visual Effects,create a psychedelic trippy visual music video for your song,22.22,5,5,3677
3677,Video & Animation,Real Estate Promos,do real estate google earth animations,35.55,5,5,3678
3678,Video & Animation,Real Estate Promos,edit together a quality real estate video that sells,31.11,nul,nul,3679
3679,Video & Animation,Intros & Outros,create a youtube intro and outro,22.22,4.9,1k+,3680
3680,Business,Lead Generation,deliver instagram user data within 24 hours,17.78,5,1,3681
3681,Music & Audio,SongwritersNew,fine tune your song into a work of art,31.11,nul,nul,3682
3682,Business,Legal Consulting,provide  property advice and legal expertise,26.66,nul,nul,3683
3683,Video & Animation,Real Estate Promos,create flying animation google earth video for locations,8.89,5,4,3684
3684,Video & Animation,Visual Effects,make a perfect deepfake using deepfacelab,133.32,5,3,3685
3685,Writing & Translation,Brand Voice & Tone,"write a brand story, realtor bio or real estate agent bio",8.89,4.9,203,3686
3686,Writing & Translation,Cover Letters,"write a creative, unique cover letter that stands out",4.44,5,1,3687
3687,Writing & Translation,Case Studies,"provide assistance in case study,reflection, critique and review",8.89,5,1,3688
3688,Programming & Tech,Mobile Apps,convert website to iphone and android apps,8.89,4.9,1k+,3689
3689,Video & Animation,Game Trailers,create cinematic trailer teaser or promo,8.89,5,4,3690
3690,Business,Presentations,prepare the best market research and investor pitch deck,88.88,4.8,20,3691
3691,Lifestyle,Arts & Crafts,paint miniatures to tabletop quality,4.44,5,12,3692
3692,Music & Audio,SongwritersNew,be your songwriter for your rap or rnb song,4.44,5,360,3693
3693,Video & Animation,Local PhotographyBeta,shoot professional videos or photos from kenya,4.44,4.7,1,3694
3694,Writing & Translation,UX Writing,write UX copy for your entire app,333.29,5,2,3695
3695,Writing & Translation,Research & Summaries,help with proofreading editing psychology topics,17.78,5,79,3696
3696,Digital Marketing,Domain Research,provide premium hosting with free domain  for 1 year,4.44,5,3,3697
3697,Video & Animation,Product Photography,photograph any property in northern new jersey and NYC,115.54,5,3,3698
3698,Digital Marketing,E-Commerce Marketing,completely overhaul your amazon listing,88.88,5,2,3699
3699,Video & Animation,Product Photography,be your professional product model and photographer,39.99,5,50,3700
3700,Lifestyle,Cooking Lessons,provide you best indian recipes,4.44,5,1,3701
3701,Video & Animation,3D Product Animation,create a 3d promotional video for your product,444.39,4.9,83,3702
3702,Video & Animation,Whiteboard & Animated Explainers,create custom explainer video in full HD 1080p,266.63,4.9,304,3703
3703,Music & Audio,Sound DesignNew,"create high quality, custom sound effects and foley",8.89,5,4,3704
3704,Lifestyle,Greeting Cards & Videos,create custom videos with my cats to promote your products,17.78,5,3,3705
3705,Programming & Tech,Data Analysis & Reports,write scale able and unblock able web scrapers for you,17.78,5,28,3706
3706,Lifestyle,Arts & Crafts,draw a hyperrealistic portrait of face or entire body and animals,31.11,5,21,3707
3707,Music & Audio,Producers & Composers,compose original orchestral music for your project,22.22,5,3,3708
3708,Music & Audio,Vocal Tuning,"pitch correct, tune and correct timing of your vocals",13.33,5,1,3709
3709,Business,Market Research,do a comprehensive market research for your business,17.78,4.8,135,3710
3710,Video & Animation,Slideshows Videos,create 3d parallax wedding or anniversary slideshow,8.89,5,6,3711
3711,Video & Animation,Intros & Outros,"create custom logo animation, intro and outro",62.21,5,497,3712
3712,Business,Career Counseling,be your accountability partner,22.22,5,19,3713
3713,Writing & Translation,Articles & Blog Posts,write a world class article or blog post,13.33,5,11,3714
3714,Music & Audio,Singers & Vocalists,be your soulful professional female singer for your song,88.88,5,196,3715
3715,Writing & Translation,Press Releases,write a press release,17.78,5,3,3716
3716,Programming & Tech,Databases,make a complete application in filemaker,4.44,4.9,52,3717
3717,Writing & Translation,Grant Writing,complete your art and art education grant proposals,88.88,nul,nul,3718
3718,Business,Legal Consulting,draft china contract manufacturing contract china factory contract,88.88,5,24,3719
3719,Video & Animation,Live Action Explainers,create professional brand marketing video for your business,71.1,5,107,3720
3720,Business,HR ConsultingNew,"do human resources,management and marketing",4.44,5,19,3721
3721,Music & Audio,Producers & Composers,Our studio will produce amazing music with an artist development strategy,515.49,nul,nul,3722
3722,Lifestyle,Collectibles,search anything what you need from germany,8.89,5,1,3723
3723,Video & Animation,Live Action Explainers,"create a video for investment, trading or cryptocurrency project",133.32,5,18,3724
3724,Programming & Tech,Development for StreamersNew,setup obs for professional looking live stream or recording,8.89,5,397,3725
3725,Digital Marketing,Influencer Marketing,model your product through photo or video,31.11,5,16,3726
3726,Writing & Translation,Scriptwriting,professional script notes from former studio executive,168.87,5,1,3727
3727,Writing & Translation,Business Names & Slogans,"name a business, product, brand, domain, website, pro",13.33,4.8,87,3728
3728,Lifestyle,Greeting Cards & Videos,create a birthday greeting using puppets,4.44,5,14,3729
3729,Music & Audio,Music TranscriptionNew,get a bass tab or a sheet for the song of your choosing,8.89,5,24,3730
3730,Video & Animation,Screencasting Videos,do a screencast  instructional or tutorial video in spanish,44.44,5,7,3731
3731,Music & Audio,Dialogue Editing,edit and master your audio,4.44,5,60,3732
3732,Writing & Translation,White Papers,write well researched cybersecurity articles and whitepapers,35.55,5,2,3733
3733,Video & Animation,Local PhotographyBeta,photograph professional headshots for you,222.19,5,1,3734
3734,Programming & Tech,Mobile Apps,develop an ios app from scratch,533.27,nul,nul,3735
3735,Music & Audio,Vocal Tuning,make your vocals shine and clean,4.44,5,2,3736
3736,Programming & Tech,Support & IT,do python programming for raspberry pi,13.33,4.8,21,3737
3737,Lifestyle,Craft Lessons,create beautiful craft video,22.22,5,32,3738
3738,Music & Audio,DJ Drops & Tags,make a female producer tag in english or spanish,13.33,5,52,3739
3739,Programming & Tech,Mobile Apps,decompile android apk and can give android studio code,26.66,5,208,3740
3740,Lifestyle,Gaming,coach you to improve in modern warfare,17.78,5,17,3741
3741,Video & Animation,Subtitles & Captions,add subtitles to your video,13.33,4.9,11,3742
3742,Writing & Translation,Creative Writing,write your important letter,44.44,5,151,3743
3743,Video & Animation,Character Animation,create 2d character animation,35.55,4.9,91,3744
3744,Writing & Translation,UX Writing,design the conversation between your product and its users,17.78,5,1,3745
3745,Programming & Tech,Development for StreamersNew,setup obs for your live stream,35.55,5,4,3746
3746,Writing & Translation,LinkedIn Profiles,create edit optimize professional linkedin profile,4.44,5,1,3747
3747,Business,Business Consulting,be your personal branding strategist,39.99,4.9,37,3748
3748,Business,Branding Services,"create you an awesome youtube channel, or design channel cover art",26.66,5,10,3749
3749,Business,Business Consulting,write an appeal letter to reinstate your blocked listing,44.44,5,18,3750
3750,Video & Animation,Spokespersons Videos,be your british english female video spokesperson,26.66,5,269,3751
3751,Programming & Tech,Development for StreamersNew,set up streamlabs obs and coach you on how to stream,8.89,5,1,3752
3752,Writing & Translation,Grant Writing,craft your nonprofit grant proposal,311.07,5,8,3753
3753,Business,E-Commerce ManagementNew,find manufacturers or suppliers to your products on china,57.77,5,12,3754
3754,Lifestyle,Traveling,do payment on your behalf in india,4.44,5,4,3755
3755,Video & Animation,Product Photography,boost your ecommerce with quality product photography in miami with models,22.22,5,11,3756
3756,Writing & Translation,Scriptwriting,write a creative script for your video,22.22,5,17,3757
3757,Lifestyle,Gaming,coach you at valorant as a pro in fps games,22.22,5,198,3758
3758,Writing & Translation,Case Studies,create a concise and illustrative case study,177.76,nul,nul,3759
3759,Digital Marketing,Music Promotion,promote and play your song in 20 radios in all latin america,88.88,5,142,3760
3760,Writing & Translation,Brand Voice & Tone,"craft professional brand story writing, about us, mission statement, realtor bio",17.78,nul,nul,3761
3761,Writing & Translation,Book EditingNew,be your professional book or story editor,17.78,5,2,3762
3762,Video & Animation,Lyric & Music Videos,create a mind blowing music video,444.39,5,3,3763
3763,Music & Audio,Vocal Tuning,make your vocals sound radio ready,8.89,5,2,3764
3764,Programming & Tech,Chatbots,"build twilio sms,bulk sms,voicecall,autoresponder",4.44,5,40,3765
3765,Writing & Translation,UX Writing,edit and proofread your website content,53.33,5,2,3766
3766,Programming & Tech,User Testing,give precise reviews on your website or app,4.44,5,1,3767
3767,Video & Animation,3D Product Animation,do all kind 3d product animation to promote your product,133.32,5,2,3768
3768,Writing & Translation,Articles & Blog Posts,"write expertly crafted, expressive content",97.77,5,4,3769
3769,Video & Animation,Live Action Explainers,make attractive  promotional video and slideshow for  business and product,4.44,5,7,3770
3770,Business,Career Counseling,provide career coaching to get a higher pay job,17.78,4.1,3,3771
3771,Lifestyle,Cooking Lessons,provide authentic jamaican recipes,4.44,5,1,3772
3772,Lifestyle,"Health, Nutrition & Fitness",improve your health and wellness blog,4.44,5,13,3773
3773,Business,Business Consulting,review and improve your website with 10 tips,17.78,5,1k+,3774
3774,Writing & Translation,LinkedIn Profiles,overhaul your linkedin and make you marketable,22.22,nul,nul,3775
3775,Music & Audio,Audiobook ProductionNew,convert your ebook to an audiobook,164.42,nul,nul,3776
3776,Lifestyle,Astrology & Readings,do a free online psychic reading w this gig,17.78,5,588,3777
3777,Writing & Translation,Case Studies,"make presentations, assignment, captions and reports for you",4.44,5,1,3778
3778,Writing & Translation,Grant Writing,prepare the winning grant proposal as per your requirements,31.11,5,1,3779
3779,Digital Marketing,Music Promotion,"play your rock music on radio rock on, promote your music",39.99,5,12,3780
3780,Lifestyle,Collectibles,answer anything about harry potter,4.44,5,1,3781
3781,Music & Audio,DJ Drops & Tags,create the best damn dj drop,48.88,5,620,3782
3782,Business,E-Commerce ManagementNew,professionally evaluate your dropshipping store,17.78,5,1,3783
3783,Programming & Tech,Game Development,develop and design 2d games,133.32,5,303,3784
3784,Writing & Translation,Translation,professionally translate Spanish to Portuguese and Pt to Sp,4.44,4.7,99,3785
3785,Video & Animation,Spokespersons Videos,"be your video spokesperson, presenter, actress in chinese or english",53.33,5,91,3786
3786,Video & Animation,Logo Animation,hand craft a breathtaking 3d logo animation video,44.44,4.9,110,3787
3787,Video & Animation,Whiteboard & Animated Explainers,create a whiteboard video animation,311.07,5,1k+,3788
3788,Video & Animation,Real Estate Promos,edit real estate drone video,17.78,5,137,3789
3789,Writing & Translation,White Papers,write a white paper for your product or service,71.1,4.7,2,3790
3790,Writing & Translation,UX Writing,create content for your app or website,4.44,5,3,3791
3791,Business,Data Entry,"do excel data entry, copy paste, typing, data entry",8.89,5,1k+,3792
3792,Programming & Tech,Convert Files,"do ebook conversion from pdf, word, indesign into epub and kindle formats",13.33,5,481,3793
3793,Writing & Translation,Research & Summaries,"write business management research, reports, and projects",8.89,5,23,3794
3794,Music & Audio,Music TranscriptionNew,transcribe or arrange anything,4.44,5,40,3795
3795,Writing & Translation,Proofreading & Editing,edit your admissions essay or personal statement,155.54,4.9,79,3796
3796,Lifestyle,Arts & Crafts,design a planner or bullet journal that fits you,35.55,5,2,3797
3797,Writing & Translation,Online Language LessonsNew,let you download my  english language course,13.33,5,38,3798
3798,Video & Animation,eLearning Video ProductionNew,create video course for website online course,84.43,nul,nul,3799
3799,Writing & Translation,Email Copy,write engaging email newsletter content,53.33,5,42,3800
3800,Digital Marketing,Mobile Marketing & Advertising,add a promotion app and game marketing,4.44,5,4,3801
3801,Programming & Tech,Online Coding LessonsNew,create python training videos for your employees,88.88,5,10,3802
3802,Writing & Translation,Website Content,be your compelling website content writer,31.11,4.9,24,3803
3803,Programming & Tech,Development for StreamersNew,"develop a standard live TV, music, video, streaming app and website",311.07,5,1,3804
3804,Music & Audio,Mixing & Mastering,"edit, mix, master and produce your music  metal rock pop",22.22,5,311,3805
3805,Video & Animation,Product Photography,model and product high end photography for your brand,177.76,5,5,3806
3806,Programming & Tech,Website Builders & CMS,design responsive webflow websites,177.76,5,77,3807
3807,Writing & Translation,Research & Summaries,"write articles, research on  supply chain  and logistics management",17.78,5,63,3808
3808,Video & Animation,Intros & Outros,create a unique youtube intro and outro,17.78,5,381,3809
3809,Music & Audio,Session Musicians,record a killer piano or keyboard track for your song,88.88,5,24,3810
3810,Writing & Translation,White Papers,write and design professional white paper,17.78,5,7,3811
3811,Programming & Tech,Desktop Applications,"create mt4, mt5 expert advisors and custom indicators",84.43,5,299,3812
3812,Writing & Translation,Sales Copy,write linkedin inmail ads that get you more sales,8.89,5,2,3813
3813,Video & Animation,Live Action Explainers,create a powerful promotional video,22.22,5,108,3814
3814,Programming & Tech,Support & IT,help in computer science and IT related projects,13.33,4.9,11,3815
3815,Writing & Translation,Email Copy,write killer emails that convert,888.78,5,3,3816
3816,Video & Animation,Animation for Streamers,do custom animated twitch alerts animation,48.88,4.8,13,3817
3817,Video & Animation,Video Editing,do professional wedding video editing,71.1,4.9,35,3818
3818,Music & Audio,Producers & Composers,"be your music producer, ghost production",266.63,5,152,3819
3819,Music & Audio,DJ Drops & Tags,make a dope producer or dj tag in english or spanish,8.89,5,2,3820
3820,Digital Marketing,Mobile Marketing & Advertising,promote your app to get installs and downloads,44.44,5,9,3821
3821,Music & Audio,Dialogue Editing,"edit, cleanup and fix your audio to sound great , free sample",4.44,5,1,3822
3822,Writing & Translation,Technical Writing,edit and proofread your technical document or user manual,8.89,5,8,3823
3823,Video & Animation,Real Estate Promos,assemble an eye catching and engaging listing video,48.88,nul,nul,3824
3824,Business,Career Counseling,find a job for you in canada,48.88,5,1,3825
3825,Video & Animation,Product Photography,"shoot incredible amazon product photography, lifestyle image",13.33,5,912,3826
3826,Programming & Tech,Web Programming,"Our studio will fix or develop php, laravel, codeigniter website",88.88,5,6,3827
3827,Writing & Translation,Grant Writing,write a convincing grant proposal for you,4.44,nul,nul,3828
3828,Lifestyle,Cooking Lessons,"give 200 yummy smoothies,juices,drinks and coffee recipes",4.44,5,1,3829
3829,Writing & Translation,Transcripts,accurately transcribe your youtube video in 24   hours,4.44,5,17,3830
3830,Video & Animation,Product Photography,photograph products and create short motion video ads,186.64,5,3,3831
3831,Lifestyle,Online Lessons,tutor you on any high school course online,13.33,4.9,4,3832
3832,Video & Animation,Spokespersons Videos,be your british green screen spokesperson,44.44,5,31,3833
3833,Music & Audio,Mixing & Mastering,mix and master emo rap or alternative rap,13.33,5,16,3834
3834,Digital Marketing,Web Traffic,drive targeted USA organic traffic from google by keywords,13.33,4.7,33,3835
3835,Lifestyle,Personal StylistsNew,be your great personal fashion stylist,4.44,5,1,3836
3836,Digital Marketing,Influencer Marketing,"promote you to my 373,000 facebook followers",97.77,4.6,9,3837
3837,Music & Audio,Podcast EditingNew,"edit,mix,master your audio in 24h and make it sound fully professional",13.33,5,18,3838
3838,Lifestyle,"Health, Nutrition & Fitness",be your fitness model,44.44,5,7,3839
3839,Video & Animation,Subtitles & Captions,translate and add captions to videos in english or spanish,4.44,5,6,3840
3840,Writing & Translation,Product Descriptions,write product descriptions for your ecommerce sales platform,17.78,nul,nul,3841
3841,Lifestyle,Collectibles,build magic the gathering decks of any format you want,4.44,5,2,3842
3842,Digital Marketing,Local SEO,"create, optimize and rank google my business profile",22.22,5,30,3843
3843,Writing & Translation,Website Content,write engaging copy that converts your target audiences,88.88,5,12,3844
3844,Business,Lead Generation,"do internet research, provide you b2b business, sales leads",17.78,5,33,3845
3845,Lifestyle,Relationship Advice,help you prepare family court papers,4.44,5,52,3846
3846,Business,Data Entry,"be your data entry, data mining, web research specialist, 24 hrs available",8.89,4.9,14,3847
3847,Writing & Translation,Online Language LessonsNew,teach you american english online via zoom,4.44,4.8,6,3848
3848,Writing & Translation,Translation,do an english to russian translation all manually and fast,4.44,5,5,3849
3849,Music & Audio,Online Music LessonsNew,teach you saxophone and music,26.66,5,5,3850
3850,Video & Animation,Character Animation,create epic animation to you,177.76,5,98,3851
3851,Video & Animation,3D Product Animation,do high quality 3d product animation,44.44,4.5,5,3852
3852,Writing & Translation,Sales Copy,write persuasive copy for your landing page,44.44,4.9,19,3853
3853,Lifestyle,Spiritual & Healing,awaken your next level kundalini energy align with 8th to 14th chakras,22.22,5,14,3854
3854,Programming & Tech,Web Programming,make a web application using spring boot and react js,8.89,5,18,3855
3855,Writing & Translation,Press Releases,write you a professional press release,8.89,5,5,3856
3856,Music & Audio,SongwritersNew,write and record a professional custom parody song,44.44,5,57,3857
3857,Music & Audio,Vocal Tuning,"tune, sync and harmonize your vocals, handcrafted",13.33,5,20,3858
3858,Programming & Tech,WordPress,create a wordpress website with elementor pro,226.64,5,22,3859
3859,Business,Project ManagementNew,do cost estimation and material take off for all construction trades,17.78,5,75,3860
3860,Writing & Translation,Brand Voice & Tone,"craft your brand manifesto, tone of voice, and tagline",66.66,nul,nul,3861
3861,Writing & Translation,Resume Writing,"write a professional software developer resume, cv, cover letter, linkedin",111.1,4.9,43,3862
3862,Video & Animation,App & Website Previews,produce custom mobile app promo video or app explainer video,84.43,5,4,3863
3863,Business,E-Commerce ManagementNew,"upload,add products to your  shopify dropshipping store",4.44,5,15,3864
3864,Programming & Tech,Desktop Applications,write cpp csharp code for cryptoapi x509 certificates timestamp,44.44,5,13,3865
3865,Digital Marketing,E-Commerce Marketing,create amazon storefront for your store products,71.1,5,8,3866
3866,Writing & Translation,Beta Reading,beta read your romance novel and give thorough feedback,53.33,5,3,3867
3867,Video & Animation,Video Editing,create a promotional video,88.88,5,124,3868
3868,Lifestyle,Craft Lessons,create beautiful DIY craft videos,8.89,5,3,3869
3869,Video & Animation,Animation for Kids,create learning videos for kids,13.33,4.9,185,3870
3870,Music & Audio,Podcast EditingNew,edit and master your podcast to top industry standards,13.33,nul,nul,3871
3871,Programming & Tech,Website Builders & CMS,"develop a wix website, professional and modern",439.94,5,10,3872
3872,Writing & Translation,Scriptwriting,write a phenomenal TV commercial or video script,133.32,5,24,3873
3873,Programming & Tech,Convert Files,convert pdf to powerpoint slides in PPT or pptx format,13.33,5,146,3874
3874,Writing & Translation,Translation,translate greek to english and vice versa,4.44,5,34,3875
3875,Digital Marketing,Music Promotion,interview you or your band on a well known music blog,8.89,5,3,3876
3876,Digital Marketing,Domain Research,find you domain names and complete keyword research,4.44,5,1,3877
